"King","Reign Period (B.C.)","Years Reigned","Parent","Citation Index"
"Jeroboam I","931 - 910","22","Nebat",33
"Nadab","910 - 908","2","Jeroboam I",34
"Baasha","908 - 886","24","Ahijah",35
"Elah","886 - 885","2","Baasha",36
"Zimri","885 - 885","7 days (suicide)",NULL,37
"Tibni (civil division)","885 - 880","5 years","Ginath",38
"Omri (civil division)","885 - 874","12",NULL,39
"Ahab","874 - 853","22","Omri",40
"Ahaziah","853 - 852","2","Ahab",41
"Jehoram (a.k.a. Joram in 2 Ki. 8:16)","852 - 841","12","Ahab",42
"Jehu","841 - 814","28","Jehoshaphat",43
"Jehoahaz","814 - 798","17","Jehu",44
"Jehoash (a.k.a. Joash in 2 Ki. 14:23) (co-regent)","798 - 782","16","Jehoahaz",45
"Jeroboam II (co-regent)","793 - 753","41","Jehoash",46
"Zachariah","753 - 752","6 months","Jeroboam II",47
"Shallum","752 - 752","1 month","Jabesh",48
"Menahem (rival reign)","752 - 742","10","Gadi",49
"Pekah (rival reign)","752 - 732","20","Remaliah",50
"Hoshea","732 - 723","9","Elah",51
