"Pharaoh","Reign Period (B.C.)","Years Reigned","Scriptural Occurrences","Citation Index"
"Shishak I","945 - 924","21","1 Kings 11:40, 14:25. 2 Chronicles 12:2-9.",5
"Osorkon I","924 - 889","35",NULL,6
"Shishak II","890 - 890","1",NULL,7
"Takelot I","890 - 873","13",NULL,8
"Osorkon II","872 - 837","3",NULL,9
"Shishak III","837 - 798","39",NULL,10
"Shishak IV (Quartus)","798 - 785","13",NULL,11
"Usermaatre Setepenre Pami","785 - 778","7",NULL,12
"Shishak V","767 - 730","37",NULL,13
"Osorkon IV","730 - 715","15",NULL,14
